date, event_name
Jan 01,New Year's Day
Jan 14,Makar Sankranti / Pongal
Jan 26,Republic Day
Feb 14,Maha Shivaratri
Mar 02,Holi
Mar 18,Ugadi / Gudi Padwa
Mar 25,Ram Navami
Mar 29,Mahavir Jayanti
Mar 30,Good Friday
Apr 30,Budhha Purnima
May 01,Labor Day
Jun 16,Eid-ul-Fitar
Jul 14,Rath Yatra
Aug 15,Independence Day
Aug 22,Bakri Id / Eid ul-Adha
Aug 25,Onam
Aug 26,Raksha Bandhan
Sep 03,Janmashtami
Sep 13,Vinayaka Chaturthi
Sep 21,Muharram
Oct 02,Mathatma Gandhi Jayanti
Oct 19,Dussehra / Dasara
Nov 07,Diwali / Deepavali
Nov 21,Milad un Nabi
Nov 23,Guru Nanak's Birthday
Dec 25,Christmas
