date, event_name
Jan 01,New Year's Day
Jan 14,Makar Sankranti / Pongal
Jan 26,Republic Day
Feb 24,Maha Shivaratri
Mar 13,Holi
Mar 28,Ugadi / Gudi Padwa
Apr 05,Ram Navami
Apr 09,Mahavir Jayanti
Apr 14,Good Friday
May 01,Labor Day
May 10,Budhha Purnima
Jun 25,Rath Yatra
Jun 26,Eid-ul-Fitar
Jul, Bonalu Festival (regional)
Aug 07,Raksha Bandhan
Aug 14,Janmashtami
Aug 15,Independence Day
Aug 25,Vinayaka Chaturthi
Sep 02,Bakri Id / Eid ul-Adha
Sep 04,Onam
Sep 30,Dussehra / Dasara
Oct 01,Muharram
Oct 02,Mathatma Gandhi Jayanti
Oct 19,Diwali / Deepavali
Dec 01,Milad un Nabi
Dec 25,Christmas
